Search the first 10000 integer powers of ^3 or more for Beal's triples.
11.8343 log10 of highest power in the list
*** concurrency supressed ***
nearest miss, log10(A^i), log10(B^j), A, i, B, j, C, k, dif, GCD(A B C)
1, 0.90309, 1.20412, 2, 3, 2, 4, 3, 3, 3, 1
2, 0.90309, 1.43136, 2, 3, 3, 3, 2, 5, 3, 1
3, 1.20412, 1.80618, 2, 4, 2, 6, 3, 4, 1, 1
4, 1.50515, 1.90849, 2, 5, 3, 4, 5, 3, 12, 1
5, 0, 2.09691, 1, 3, 5, 3, 2, 7, 2, 1
6, 1.90849, 2.10721, 3, 4, 2, 7, 6, 3, 7, 1
7, 2.10721, 2.33445, 2, 7, 6, 3, 7, 3, 1, 1
8, 1.20412, 2.38561, 2, 4, 3, 5, 2, 8, 3, 1
9, 1.90849, 2.40824, 3, 4, 2, 8, 7, 3, 6, 1
10, 2.40824, 2.53529, 2, 8, 7, 3, 5, 4, 26, 1
11, 2.33445, 2.70927, 6, 3, 2, 9, 3, 6, 1, 1
12, 2.09691, 2.79588, 5, 3, 5, 4, 3, 6, 21, 1
13, 2.40824, 2.86273, 2, 8, 3, 6, 10, 3, 15, 1
14, 2.86273, 3, 3, 6, 10, 3, 12, 3, 1, 1
15, 2.40824, 3.0103, 2, 8, 2, 10, 6, 4, 16, 2
16, 1.50515, 3.11261, 2, 5, 6, 4, 11, 3, 3, 1
17, 2.86273, 3.12418, 3, 6, 11, 3, 2, 11, 12, 1
18, 3.0103, 3.23754, 2, 10, 12, 3, 14, 3, 8, 2
19, 3.12418, 3.31133, 11, 3, 2, 11, 15, 3, 4, 1
20, 0.90309, 3.33985, 2, 3, 3, 7, 13, 3, 2, 1
21, 2.33445, 3.34183, 6, 3, 13, 3, 7, 4, 12, 1
22, 2.86273, 3.38039, 3, 6, 7, 4, 5, 5, 5, 1
23, 2.79588, 3.43838, 5, 4, 14, 3, 15, 3, 6, 1
24, 2.40824, 3.49485, 2, 8, 5, 5, 15, 3, 6, 1
25, 2.86273, 3.52827, 3, 6, 15, 3, 2, 12, 8, 1
26, 3.23754, 3.61236, 12, 3, 2, 12, 18, 3, 8, 2
27, 3.49485, 3.69135, 5, 5, 17, 3, 20, 3, 38, 1
28, 3.0103, 3.76582, 2, 10, 18, 3, 19, 3, 3, 1
29, 3.61236, 3.81697, 2, 12, 3, 8, 22, 3, 9, 1
30, 3.38039, 3.83626, 7, 4, 19, 3, 21, 3, 1, 1
31, 3.83626, 3.89076, 19, 3, 6, 5, 11, 4, 6, 1
32, 3.76582, 3.90309, 18, 3, 20, 3, 24, 3, 8, 2
33, 3.0103, 3.91339, 2, 10, 2, 13, 21, 3, 45, 1
34, 2.86273, 3.96666, 3, 6, 21, 3, 10, 4, 10, 1
35, 3.33985, 4, 3, 7, 10, 4, 23, 3, 20, 1
36, 3.49485, 4.02727, 5, 5, 22, 3, 24, 3, 51, 1
37, 3.23754, 4.08518, 12, 3, 23, 3, 24, 3, 71, 1
38, 3.76582, 4.14063, 18, 3, 24, 3, 3, 9, 27, 3
39, 3.23754, 4.16557, 12, 3, 11, 4, 2, 14, 15, 1
40, 2.86273, 4.19382, 3, 6, 5, 6, 2, 14, 30, 1
41, 3.90309, 4.21442, 20, 3, 2, 14, 29, 3, 5, 1
42, 2.86273, 4.22549, 3, 6, 7, 5, 26, 3, 40, 1
43, 3.49485, 4.24492, 5, 5, 26, 3, 12, 4, 35, 1
44, 3.0103, 4.29409, 2, 10, 3, 9, 12, 4, 29, 1
45, 3.89076, 4.31672, 6, 5, 12, 4, 13, 4, 49, 1
46, 3.38039, 4.34147, 7, 4, 28, 3, 29, 3, 36, 1
47, 3.61236, 4.38719, 2, 12, 29, 3, 13, 4, 76, 1
48, 4.29409, 4.43136, 3, 9, 30, 3, 6, 6, 27, 3
49, 3.11261, 4.45577, 6, 4, 13, 4, 31, 3, 66, 1
50, 4.22549, 4.47409, 7, 5, 31, 3, 6, 6, 58, 1
51, 3.81697, 4.51545, 3, 8, 2, 15, 34, 3, 25, 1
52, 3.52827, 4.55554, 15, 3, 33, 3, 34, 3, 8, 1
53, 4.08518, 4.58451, 23, 3, 14, 4, 15, 4, 42, 1
54, 4.19382, 4.59444, 5, 6, 34, 3, 38, 3, 57, 1
55, 3.89076, 4.6322, 6, 5, 35, 3, 37, 3, 2, 1
56, 3.91339, 4.66891, 2, 13, 6, 6, 38, 3, 24, 2
57, 1.43136, 4.70437, 3, 3, 15, 4, 37, 3, 1, 1
58, 4.66891, 4.70461, 6, 6, 37, 3, 46, 3, 27, 1
59, 4.02727, 4.73935, 22, 3, 38, 3, 2, 16, 16, 2
60, 2.40824, 4.77121, 2, 8, 3, 10, 39, 3, 14, 1
61, 4.16557, 4.77319, 11, 4, 39, 3, 42, 3, 128, 1
