Search the first 100000000 integer powers of ^3 or more for Beal's triples.
Search begins for B^j = 0:0, log10(Bj) = 0
23.9861 log10 of highest power in the list
hardware concurrency: 16
trials, zeros, log10(A^i), log10(B^j), A, i, B, j, C, k, GCD(A B C)
0, 1, 0.90309, 0.90309, 2, 3, 2, 3, 2, 4, 2
16, 6, 1.43136, 2.33445, 3, 3, 6, 3, 3, 5, 3
21, 7, 2.40824, 2.40824, 2, 8, 2, 8, 2, 9, 2
25, 8, 2.70927, 2.70927, 2, 9, 2, 9, 2, 10, 2
40, 9, 3.0103, 3.0103, 2, 10, 2, 10, 2, 11, 2
80, 11, 2.53529, 3.38039, 7, 3, 7, 4, 14, 3, 7
1, 2, 1.20412, 1.20412, 2, 4, 2, 4, 2, 5, 2
142, 14, 3.91339, 3.91339, 2, 13, 2, 13, 2, 14, 2
216, 15, 4.21442, 4.21442, 2, 14, 2, 14, 2, 15, 2
311, 16, 4.51545, 4.51545, 2, 15, 2, 15, 2, 16, 2
834, 20, 4.29409, 5.19718, 3, 9, 54, 3, 3, 11, 3
1178, 21, 5.41854, 5.41854, 2, 18, 2, 18, 2, 19, 2
1731, 23, 5.71957, 5.71957, 2, 19, 2, 19, 2, 20, 2
1817, 24, 4.34147, 5.77284, 28, 3, 84, 3, 28, 4, 28
2083, 25, 5.56972, 5.87712, 13, 5, 91, 3, 104, 3, 13
62, 10, 3.31133, 3.31133, 2, 11, 2, 11, 2, 12, 2
477, 17, 4.81648, 4.81648, 2, 16, 2, 16, 2, 17, 2
3589, 31, 6.13597, 6.27281, 111, 3, 37, 4, 148, 3, 37
3922, 32, 6.32163, 6.32163, 2, 21, 2, 21, 2, 22, 2
4, 3, 1.50515, 1.50515, 2, 5, 2, 5, 2, 6, 2
13, 5, 2.10721, 2.10721, 2, 7, 2, 7, 2, 8, 2
9376, 36, 6.92369, 6.92369, 2, 23, 2, 23, 2, 24, 2
10385, 37, 6.14765, 6.99275, 112, 3, 56, 4, 224, 3, 56
742, 18, 4.73935, 5.11501, 38, 3, 19, 4, 57, 3, 19
14126, 40, 7.22472, 7.22472, 2, 24, 2, 24, 2, 25, 2
14379, 41, 6.67593, 7.23579, 168, 3, 28, 5, 280, 3, 28
753, 19, 5.11751, 5.11751, 2, 17, 2, 17, 2, 18, 2
1646, 22, 4.24492, 5.65989, 26, 3, 26, 4, 78, 3, 26
17597, 43, 6.47509, 7.37818, 12, 6, 288, 3, 72, 4, 12
2132, 26, 4.70437, 5.88046, 15, 4, 15, 5, 30, 4, 15
2257, 27, 5.07059, 5.91569, 7, 6, 7, 7, 98, 3, 7
26663, 45, 6.83028, 7.65739, 51, 4, 34, 5, 85, 4, 17
27829, 46, 7.30849, 7.6833, 273, 3, 364, 3, 91, 4, 91
29250, 47, 7.47409, 7.72034, 310, 3, 35, 5, 435, 3, 5
96, 12, 3.61236, 3.61236, 2, 12, 2, 12, 2, 13, 2
34389, 48, 7.82678, 7.82678, 2, 26, 2, 26, 2, 27, 2
42023, 49, 7.40504, 7.9649, 294, 3, 98, 4, 490, 3, 98
42648, 50, 7.83617, 7.97403, 91, 4, 455, 3, 546, 3, 91
48114, 51, 7.15682, 8.05991, 3, 15, 486, 3, 3, 17, 3
2953, 30, 4.9218, 6.12592, 17, 4, 34, 4, 17, 5, 17
53586, 52, 8.12781, 8.12781, 2, 27, 2, 27, 2, 28, 2
6169, 34, 5.72546, 6.62855, 3, 12, 162, 3, 3, 14, 3
61546, 54, 6.62855, 6.62855, 162, 3, 162, 3, 54, 4, 54
8384, 35, 5.94681, 6.8499, 96, 3, 192, 3, 24, 5, 24
13078, 38, 7.14132, 7.16217, 61, 4, 244, 3, 305, 3, 61
13709, 39, 5.39802, 7.19736, 63, 3, 63, 4, 252, 3, 63
75291, 57, 6.28027, 8.37369, 124, 3, 124, 4, 620, 3, 124
14547, 42, 5.43874, 7.24492, 65, 3, 260, 3, 65, 4, 65
82532, 60, 8.42884, 8.42884, 2, 28, 2, 28, 2, 29, 2
21991, 44, 7.52575, 7.52575, 2, 25, 2, 25, 2, 26, 2
5, 4, 1.80618, 1.80618, 2, 6, 2, 6, 2, 7, 2
110, 13, 2.86273, 3.76582, 3, 6, 18, 3, 3, 8, 3
2715, 29, 5.53529, 6.06357, 70, 3, 105, 3, 35, 4, 35
115073, 65, 8.66197, 8.66197, 54, 5, 54, 5, 972, 3, 54
54101, 53, 8.1337, 8.1337, 108, 4, 108, 4, 648, 3, 108
6114, 33, 6.62266, 6.62266, 2, 22, 2, 22, 2, 23, 2
65571, 55, 7.10765, 8.27274, 234, 3, 117, 4, 585, 3, 117
72547, 56, 8.01352, 8.34095, 469, 3, 603, 3, 134, 4, 67
77482, 58, 6.30111, 8.39802, 126, 3, 630, 3, 126, 4, 126
77872, 59, 6.94791, 8.40148, 207, 3, 126, 4, 639, 3, 9
84160, 61, 7.60588, 8.45098, 7, 9, 7, 10, 686, 3, 7
187773, 73, 7.97403, 9.0013, 455, 3, 1001, 3, 182, 4, 91
85839, 62, 7.27464, 8.46846, 266, 3, 665, 3, 133, 4, 133
2573, 28, 6.0206, 6.0206, 2, 20, 2, 20, 2, 21, 2
197107, 74, 9.0309, 9.0309, 2, 30, 2, 30, 2, 31, 2
110822, 63, 7.97689, 8.64244, 456, 3, 760, 3, 152, 4, 152
112052, 64, 8.41521, 8.64586, 127, 4, 762, 3, 889, 3, 127
218513, 78, 8.26075, 9.10585, 567, 3, 189, 4, 1134, 3, 189
125827, 66, 8.35171, 8.72737, 608, 3, 152, 4, 912, 3, 152
126447, 67, 8.72987, 8.72987, 2, 29, 2, 29, 2, 30, 2
138940, 68, 8.69782, 8.79437, 793, 3, 854, 3, 183, 4, 61
145414, 69, 7.69754, 8.8273, 368, 3, 161, 4, 897, 3, 23
258707, 79, 8.91155, 9.21895, 13, 8, 1183, 3, 1352, 3, 13
173377, 71, 7.45681, 8.94817, 31, 5, 31, 6, 62, 5, 31
175152, 72, 8.57561, 8.95128, 722, 3, 19, 7, 1083, 3, 19
287854, 82, 9.29073, 9.29073, 1250, 3, 1250, 3, 250, 4, 250
206008, 75, 8.45577, 9.06457, 130, 4, 65, 5, 195, 4, 65
302891, 83, 6.99732, 9.32975, 215, 3, 215, 4, 1290, 3, 215
307136, 84, 9.33193, 9.33193, 2, 31, 2, 31, 2, 32, 2
216446, 77, 7.59257, 9.09772, 33, 5, 66, 5, 33, 6, 33
278732, 80, 7.85728, 9.27225, 416, 3, 208, 4, 1248, 3, 208
283487, 81, 8.58997, 9.28132, 730, 3, 1241, 3, 219, 4, 73
215016, 76, 8.6024, 9.09058, 737, 3, 1072, 3, 201, 4, 67
309456, 85, 7.00938, 9.34383, 217, 3, 1302, 3, 217, 4, 217
385003, 88, 8.58818, 9.49127, 3, 18, 1458, 3, 3, 20, 3
316888, 86, 9.11228, 9.35383, 1090, 3, 218, 4, 1526, 3, 218
330209, 87, 7.95383, 9.3852, 448, 3, 1344, 3, 224, 4, 224
168269, 70, 8.63557, 8.9263, 756, 3, 945, 3, 189, 4, 189
397225, 89, 7.61236, 9.51545, 80, 4, 80, 5, 240, 4, 80
426081, 90, 7.65526, 9.56374, 82, 4, 246, 4, 82, 5, 82
477566, 91, 9.63296, 9.63296, 2, 32, 2, 32, 2, 33, 2
506142, 92, 9.14765, 9.67593, 1120, 3, 1680, 3, 280, 4, 280
530371, 93, 8.58639, 9.71338, 728, 3, 1729, 3, 273, 4, 91
537083, 94, 9.34584, 9.71865, 217, 4, 1736, 3, 1953, 3, 217
578427, 95, 7.86041, 9.77087, 417, 3, 1807, 3, 278, 4, 139
591867, 96, 9.14299, 9.78242, 1116, 3, 279, 4, 1953, 3, 279
656698, 97, 9.15121, 9.85557, 194, 4, 291, 4, 97, 5, 97
672157, 98, 9.86609, 9.86609, 1944, 3, 1944, 3, 108, 5, 108
690127, 99, 9.74833, 9.88517, 1776, 3, 296, 4, 2368, 3, 296
701262, 100, 8, 9.90309, 10, 8, 2000, 3, 300, 4, 10
705395, 101, 8.48984, 9.90481, 26, 6, 26, 7, 2028, 3, 26
738165, 102, 9.69517, 9.93272, 1705, 3, 2046, 3, 341, 4, 341
744628, 105, 8.57381, 9.9416, 721, 3, 2060, 3, 309, 4, 103
743416, 104, 9.93399, 9.93399, 2, 33, 2, 33, 2, 34, 2
743387, 103, 8.50897, 9.94034, 686, 3, 2058, 3, 98, 5, 98
792325, 106, 9.74465, 9.97839, 273, 4, 2119, 3, 2470, 3, 13
808696, 107, 8.93043, 9.99875, 948, 3, 316, 4, 2212, 3, 316
937705, 108, 8.47822, 10.1002, 670, 3, 335, 4, 2345, 3, 335
959011, 109, 8.68295, 10.1143, 28, 6, 2352, 3, 28, 7, 28
990323, 110, 7.60208, 10.1361, 342, 3, 342, 4, 2394, 3, 342
1002260, 111, 7.60968, 10.145, 344, 3, 2408, 3, 344, 4, 344
1034998, 112, 9.73188, 10.1616, 271, 4, 2439, 3, 2710, 3, 271
1042499, 113, 8.53901, 10.1712, 702, 3, 2457, 3, 351, 4, 351
1157576, 114, 10.235, 10.235, 2, 34, 2, 34, 2, 35, 2
1159092, 115, 9.13597, 10.2399, 1110, 3, 2590, 3, 370, 4, 370
1168282, 116, 10.2409, 10.2409, 2592, 3, 2592, 3, 432, 4, 432
